SubjectName,trialType,sex,age,total_completion_time,total_search_time,total_dwell_time,pathLength,avgSpeed,avgAcceleration,avgMeanSqJerk,total_error_time,total_num_errors
08,A,F,20,19.9302476170121,15.7722259170121,3.9899317,275.395234376617,18.2092533455878,10.8811724962025,11167085231.8885,2.851326,3
08,B,F,20,33.5222937604041,23.1951774604041,9.5937163,312.617373970064,14.5846068370478,1.88635738658458,1241740021.33688,0,0
09,C,M,20,20.0468872577247,15.9590627577247,3.8708445,139.375619146548,9.64590350397523,11.0204506914552,772526916.385482,2.86769,2
10,C,F,31,21.481471691251,14.767719501251,6.54696219,246.223007787021,17.0835684827732,8.31021648331311,2319829626.15245,1.35041,1
11,C,F,25,25.5343800552045,20.2550381552045,5.26283189999999,321.779208842148,23.1965256743691,70.6987275554745,18890353921.997,4.151693,2
12,C,M,25,17.028397689707,9.64753848970699,7.2652592,232.48956071692,23.2908581066646,16.7930296265902,20297715105.536,0,0
13,C,O,24,26.0845771821158,16.6121071821158,9.27268,251.256872429993,15.6632775059888,5.1342453510669,5368512876.57897,3.703092,1
14,C,F,35,26.5846702273519,22.2670447273519,4.1177955,350.745527220963,19.5913498738823,4.7481016475396,20240486626.3446,7.204108,4
15,C,F,29,28.8448290988209,21.9750374321542,6.61979166666667,252.203463147937,12.3045408662403,3.03053071787282,3050676641.36862,5.52083333333333,1
16,C,M,32,18.1441755695393,13.3690792695393,4.6412963,265.235324050768,23.7006347153137,33.6556635571053,8562356744.45216,1.2173,1
17,C,F,18,20.7808370299953,15.7991568299953,4.5798802,273.278202344939,16.1371980794793,69.2474620558361,78494614349.8616,1.767822,1
18,C,F,47,12.2086489751302,7.71116517513021,4.3305838,215.755527123931,21.8898937248643,14.0462262812293,111517744.416833,0,0
19,C,F,35,16.3593204626879,10.9082174626879,5.352713,216.499163615472,20.7525173682386,17.7417192777297,2534614060.33102,0,0
20,C,F,25,26.368973955212,20.282423255212,5.8541307,315.747649056331,17.2238402651458,14.4949893816733,10069968255.7216,5.152345,3
21,C,M,23,30.5371841117069,21.7032171117069,8.567367,272.343543731663,12.014114397792,12.9952349366465,3007056510.71818,2.93555,1
22,C,F,52,15.6606714475251,8.83997444752505,6.70389700000001,221.959449036172,21.640653768565,10.4582402106181,4101936416.8076,0,0
23,C,F,50,21.8645817274852,14.9776243274852,6.70507739999999,250.586545569412,19.2296980583013,18.2242513157861,4330163463.70382,2.702392,1
24,C,M,32,17.4962639904858,12.4922641904858,4.9534898,244.705078283164,23.9052624621694,34.2848203434417,4639603867.54575,0,0
25,C,F,22,20.3971714851804,14.7884750851804,5.3622064,250.152374433244,21.7578435577074,19.1083731987719,10876012639.3384,2.61859,1
09,D,M,20,30.0200973739399,18.0293843739399,11.807483,148.383717600042,8.85166125756118,8.1316299991811,611359385.130456,1.2345,1
10,D,F,31,85.5918754677547,59.3362013677547,25.9726541,427.222954614537,9.37708664185832,3.03220374136909,652786316.494961,4.519599,2
11,D,F,25,47.1156728956699,26.9002087956699,19.9477641,415.467409582222,22.3406149972011,31.7713046710668,13316212519.0543,7.73889,3
12,D,M,25,42.343584164338,23.844361264338,18.3842329,349.259954838315,16.8375376446291,9.26832150971769,20624447324.3778,3.12036,1
13,D,O,24,44.1137537937287,18.8072626937287,24.9894711,303.119273844833,14.5625763837969,6.97409228832702,1162955947.6638,0,0
14,D,F,35,64.044023558516,43.533294858516,19.9258887,353.324041478237,9.60134262941626,5.01198327339764,7197008937.50644,7.15748,2
15,D,F,29,51.1427325346886,39.7052325346886,11.125,318.20230997818,9.11988316342361,4.42925026681932,526301981.842081,0,0
16,D,M,32,35.9245791703682,27.3200137703682,8.3875554,382.422657694401,21.1890763650935,17.6185461346094,11309727274.347,2.88418,3
17,D,F,18,36.8921010276244,24.7963990276244,11.428462,290.925760468866,12.9761262683509,69.7815216657682,30775545535.964,0.799800000000001,1
18,D,F,47,35.5600623430713,19.3144373430713,15.942315,325.503137999117,21.2779338329354,14.011587313481,191739456.603687,1.20188,1
19,D,F,35,32.4868887711117,14.0855197711117,18.186029,286.272108759253,19.7272451834821,22.3203452210307,2819212208.81305,0,0
20,D,F,25,57.4052290352124,32.0728470352124,24.350822,377.3979664797,11.3351201017714,4.7515842665001,16163196175.6528,2.95215,3
21,D,M,23,51.5681931261656,39.3245579261656,11.3749852,392.619653117803,10.5028433186202,8.07969277328643,8069028176.02487,5.354,1
22,D,F,52,40.0110040499836,24.3354231499836,14.2741509,329.55729822678,16.8025451420127,5.70700462062597,2441204482.4554,2.93531,2
23,D,F,50,31.1541247476945,17.4114547476945,13.50927,281.033279008444,16.1596155296438,9.04401870339957,1612933078.79012,0,0
24,D,M,32,59.4944047892565,32.1126677892565,27.149527,387.517902721723,18.4672370394883,18.9502315257277,2802299134.69386,3.46639999999999,3
25,D,F,22,29.1017052546081,15.4823564546081,13.0509588,289.728836946348,17.8132187278958,14.4992710578013,1913974634.63741,0,0
